,SID,Session,Block,Trial,Sequence,Stimt-2,Stimt-1,Stimt,RT,Response,Delay,Result,Trial_Number,Correct,log_RT,inverse_RT,post_error
193,1033,Baseline,2,73,High Prob,2,3,1,0.4827443,1,0.2,Correct,193,1,-0.728268165,2.071490021,0
194,1033,Baseline,2,74,Low Prob,3,1,4,0.5481381,4,0.25,Correct,194,1,-0.601228016,1.824357767,0
195,1033,Baseline,2,75,High Prob,1,4,3,0.4029071,3,0.25,Correct,195,1,-0.909049265,2.481961723,0
196,1033,Baseline,2,76,High Prob,4,3,2,0.4375556,2,0.3,Correct,196,1,-0.826551496,2.285423841,0
197,1033,Baseline,2,77,Low Prob,3,2,3,0.4229911,3,0.3,Correct,197,1,-0.86040414,2.364115935,0
198,1033,Baseline,2,78,High Prob,2,3,1,0.2889881,1,0.5,Correct,198,1,-1.241369768,3.460350097,0
199,1033,Baseline,2,79,Low Prob,3,1,4,0.3383727,4,0.45,Correct,199,1,-1.083607328,2.955321159,0
200,1033,Baseline,2,80,High Prob,1,4,3,0.4757406,3,0.2,Correct,200,1,-0.742882531,2.10198583,0
201,1033,Baseline,2,81,High Prob,4,3,2,0.4858033,2,0.45,Correct,201,1,-0.72195147,2.058446289,0
202,1033,Baseline,2,82,High Prob,3,2,4,0.5072019,4,0.55,Correct,202,1,-0.67884613,1.971601447,0
203,1033,Baseline,2,83,High Prob,2,4,1,0.3039387,1,0.55,Correct,203,1,-1.190929243,3.290137123,0
204,1033,Baseline,2,84,High Prob,4,1,3,0.3706405,3,0.4,Correct,204,1,-0.992522689,2.69803219,0
205,1033,Baseline,2,85,High Prob,1,3,4,0.504682,4,0.25,Correct,205,1,-0.683826751,1.981445742,0
206,1033,Baseline,2,86,High Prob,3,4,2,0.4334164,2,0.45,Correct,206,1,-0.83605635,2.307250026,0
207,1033,Baseline,2,87,High Prob,4,2,3,0.4347822,3,0.3,Correct,207,1,-0.832910063,2.300002162,0
208,1033,Baseline,2,88,High Prob,2,3,1,0.5181381,1,0.25,Correct,208,1,-0.65751347,1.929987391,0
209,1033,Baseline,2,89,High Prob,3,1,2,0.4681806,2,0.3,Correct,209,1,-0.75890116,2.135927888,0
210,1033,Baseline,2,90,High Prob,1,2,1,0.4862937,1,0.25,Correct,210,1,-0.720942517,2.056370461,0
211,1033,Baseline,2,91,High Prob,2,1,4,0.4256715,4,0.6,Correct,211,1,-0.854087357,2.349229394,0
212,1033,Baseline,2,92,Low Prob,1,4,2,0.3977323,2,0.25,Correct,212,1,-0.921976113,2.514253934,0
213,1033,Baseline,2,93,High Prob,4,2,3,0.571102,3,0.45,Correct,213,1,-0.560187451,1.751000697,0
214,1033,Baseline,2,94,High Prob,2,3,1,0.3211623,1,0.45,Correct,214,1,-1.135808676,3.113690492,0
215,1033,Baseline,2,95,Low Prob,3,1,4,0.4912234,4,0.6,Correct,215,1,-0.710856265,2.03573364,0
216,1033,Baseline,2,96,Low Prob,1,4,2,0.3966114,2,0.25,Correct,216,1,-0.924798319,2.521359699,0
217,1033,Baseline,2,97,High Prob,4,2,3,0.3819852,3,0.35,Correct,217,1,-0.962373415,2.617902474,0
218,1033,Baseline,2,98,High Prob,2,3,1,0.2873674,1,0.35,Correct,218,1,-1.246993743,3.479865844,0
219,1033,Baseline,2,99,Low Prob,3,1,4,0.342743,4,0.3,Correct,219,1,-1.070774384,2.917637997,0
220,1033,Baseline,2,100,High Prob,1,4,3,0.4421249,3,0.35,Correct,220,1,-0.816162858,2.2618043,0
221,1033,Baseline,2,101,High Prob,4,3,2,0.4815235,2,0.55,Correct,221,1,-0.730800243,2.076741841,0
222,1033,Baseline,2,102,High Prob,3,2,4,0.4089173,4,0.5,Correct,222,1,-0.894242344,2.445482253,0
223,1033,Baseline,2,103,High Prob,2,4,1,0.293641,1,0.45,Correct,223,1,-1.225397346,3.405518984,0
224,1033,Baseline,2,104,High Prob,4,1,3,0.3250112,3,0.5,Correct,224,1,-1.123895636,3.076817045,0
225,1033,Baseline,2,105,High Prob,1,3,4,0.3910648,4,0.4,Correct,225,1,-0.938882004,2.557120968,0
226,1033,Baseline,2,106,High Prob,3,4,2,0.4404433,2,0.35,Correct,226,1,-0.819973559,2.270439805,0
227,1033,Baseline,2,107,High Prob,4,2,3,0.4078351,3,0.35,Correct,227,1,-0.896892353,2.451971397,0
228,1033,Baseline,2,108,High Prob,2,3,1,0.3185586,1,0.6,Correct,228,1,-1.143948833,3.139139863,0
229,1033,Baseline,2,109,High Prob,3,1,2,0.5345976,2,0.25,Correct,229,1,-0.626240965,1.870565824,0
230,1033,Baseline,2,110,High Prob,1,2,1,0.3739829,1,0.25,Correct,230,1,-0.983545205,2.673919048,0
231,1033,Baseline,2,111,Low Prob,2,1,3,0.5420673,3,0.2,Correct,231,1,-0.612365116,1.844789383,0
232,1033,Baseline,2,112,High Prob,1,3,4,0.3674486,4,0.6,Correct,232,1,-1.001171834,2.721469071,0
233,1033,Baseline,2,113,High Prob,3,4,2,0.4694315,2,0.25,Correct,233,1,-0.756232891,2.130236254,0
234,1033,Baseline,2,114,High Prob,4,2,3,0.4074864,4,0.25,Wrong,234,0,-0.897747721,2.454069633,1
235,1033,Baseline,2,115,High Prob,2,3,1,0.4822345,1,0.5,Correct,235,1,-0.729324769,2.073679921,0
236,1033,Baseline,2,116,High Prob,3,1,2,0.4056864,2,0.6,Correct,236,1,-0.902174832,2.464958155,0
237,1033,Baseline,2,117,Low Prob,1,2,4,0.560375,4,0.5,Correct,237,1,-0.579149077,1.784519295,0
238,1033,Baseline,2,118,High Prob,2,4,1,0.565098,1,0.5,Correct,238,1,-0.570756112,1.769604564,0
239,1033,Baseline,2,119,High Prob,4,1,3,0.3271805,3,0.55,Correct,239,1,-1.117243273,3.056416871,0
240,1033,Baseline,2,120,High Prob,1,3,4,0.4212088,4,0.5,Correct,240,1,-0.864626606,2.374119439,0
241,1033,Baseline,3,1,Low Prob,2,3,4,0.3040522,4,0.55,Correct,241,1,-1.190555882,3.288908944,0
242,1033,Baseline,3,2,High Prob,3,4,2,0.4547408,2,0.3,Correct,242,1,-0.788027693,2.199054934,0
243,1033,Baseline,3,3,High Prob,4,2,3,0.4254247,3,0.25,Correct,243,1,-0.854667315,2.350592243,0
244,1033,Baseline,3,4,Low Prob,2,3,4,0.2994435,4,0.3,Correct,244,1,-1.205829527,3.339528158,0
245,1033,Baseline,3,5,Low Prob,3,4,1,0.3421399,1,0.2,Correct,245,1,-1.072535561,2.922781003,0
246,1033,Baseline,3,6,High Prob,4,1,3,0.2655293,3,0.35,Correct,246,1,-1.326030087,3.766062728,0
247,1033,Baseline,3,7,High Prob,1,3,4,0.2996226,4,0.45,Correct,247,1,-1.205231596,3.337531949,0
248,1033,Baseline,3,8,High Prob,3,4,2,0.2623488,2,0.6,Correct,248,1,-1.338080363,3.81171936,0
249,1033,Baseline,3,9,High Prob,4,2,3,0.3630542,3,0.4,Correct,249,1,-1.013203145,2.754409672,0
250,1033,Baseline,3,10,High Prob,2,3,1,0.2977719,1,0.45,Correct,250,1,-1.211427522,3.358275244,0
251,1033,Baseline,3,11,High Prob,3,1,2,0.4491256,2,0.3,Correct,251,1,-0.800452698,2.226548654,0
252,1033,Baseline,3,12,High Prob,1,2,1,0.4278709,1,0.45,Correct,252,1,-0.848933764,2.337153567,0
253,1033,Baseline,3,13,High Prob,2,1,4,0.3619161,4,0.4,Correct,253,1,-1.016342862,2.763071331,0
254,1033,Baseline,3,14,High Prob,1,4,3,0.2906935,3,0.6,Correct,254,1,-1.235485831,3.440049399,0
255,1033,Baseline,3,15,High Prob,4,3,2,0.4200306,2,0.45,Correct,255,1,-0.867427713,2.380778924,0
256,1033,Baseline,3,16,High Prob,3,2,4,0.4740969,4,0.2,Correct,256,1,-0.746343548,2.109273442,0
257,1033,Baseline,3,17,High Prob,2,4,1,0.3201214,1,0.55,Correct,257,1,-1.13905498,3.123814903,0
258,1033,Baseline,3,18,High Prob,4,1,3,0.3841882,3,0.45,Correct,258,1,-0.956622742,2.602890979,0
259,1033,Baseline,3,19,Low Prob,1,3,2,0.4475547,2,0.4,Correct,259,1,-0.803956514,2.234363755,0
260,1033,Baseline,3,20,High Prob,3,2,4,0.4369398,4,0.2,Correct,260,1,-0.827959851,2.288644797,0
261,1033,Baseline,3,21,High Prob,2,4,1,0.63232,1,0.25,Correct,261,1,-0.458359684,1.581477733,0
262,1033,Baseline,3,22,High Prob,4,1,3,0.3577448,3,0.2,Correct,262,1,-1.027935396,2.795288709,0
263,1033,Baseline,3,23,High Prob,1,3,4,0.3624104,4,0.3,Correct,263,1,-1.014978008,2.759302713,0
264,1033,Baseline,3,24,High Prob,3,4,2,0.42313,2,0.5,Correct,264,1,-0.860075819,2.363339872,0
265,1033,Baseline,3,25,High Prob,4,2,3,0.6972041,3,0.3,Correct,265,1,-0.360677085,1.434300229,0
266,1033,Baseline,3,26,High Prob,2,3,1,0.3085841,1,0.6,Correct,266,1,-1.175760863,3.240607666,0
267,1033,Baseline,3,27,High Prob,3,1,2,0.5592899,2,0.2,Correct,267,1,-0.581087336,1.78798151,0
268,1033,Baseline,3,28,High Prob,1,2,1,0.4800248,1,0.6,Correct,268,1,-0.73391751,2.0832257,0
269,1033,Baseline,3,29,High Prob,2,1,4,0.3100958,3,0.55,Wrong,269,0,-1.170873997,3.224809881,1
270,1033,Baseline,3,30,High Prob,1,4,3,0.4328214,3,0.6,Correct,270,1,-0.837430107,2.310421804,0
271,1033,Baseline,3,31,High Prob,4,3,2,0.5122038,2,0.35,Correct,271,1,-0.669032686,1.952347874,0
272,1033,Baseline,3,32,High Prob,3,2,4,0.3249487,4,0.55,Correct,272,1,-1.124087955,3.077408834,0
273,1033,Baseline,3,33,High Prob,2,4,1,0.4949729,1,0.2,Correct,273,1,-0.703252265,2.020312627,0
274,1033,Baseline,3,34,High Prob,4,1,3,0.2803598,3,0.45,Correct,274,1,-1.271681501,3.566845175,0
275,1033,Baseline,3,35,High Prob,1,3,4,0.3124161,4,0.5,Correct,275,1,-1.163419326,3.200859367,0
276,1033,Baseline,3,36,High Prob,3,4,2,0.2431477,2,0.6,Correct,276,1,-1.414086201,4.112726544,0
277,1033,Baseline,3,37,High Prob,4,2,3,0.4445007,3,0.3,Correct,277,1,-0.810803649,2.249715242,0
278,1033,Baseline,3,38,Low Prob,2,3,4,0.4078988,4,0.45,Correct,278,1,-0.896736175,2.451588482,0
279,1033,Baseline,3,39,High Prob,3,4,2,0.3026282,2,0.6,Correct,279,1,-1.19525029,3.30438472,0
280,1033,Baseline,3,40,High Prob,4,2,3,0.4473258,3,0.45,Correct,280,1,-0.804468091,2.235507096,0
281,1033,Baseline,3,41,High Prob,2,3,1,0.5647465,1,0.6,Correct,281,1,-0.571378321,1.770705972,0
282,1033,Baseline,3,42,High Prob,3,1,2,0.3428186,3,0.55,Wrong,282,0,-1.070553835,2.916994585,1
283,1033,Baseline,3,43,Low Prob,1,2,4,0.5501985,4,0.45,Correct,283,1,-0.597476157,1.817525857,0
284,1033,Baseline,3,44,High Prob,2,4,1,0.2949531,1,0.6,Correct,284,1,-1.220938918,3.39036952,0
285,1033,Baseline,3,45,High Prob,4,1,3,0.460317,3,0.35,Correct,285,1,-0.775839896,2.172415966,0
286,1033,Baseline,3,46,High Prob,1,3,4,0.4690463,4,0.5,Correct,286,1,-0.757053795,2.131985691,0
287,1033,Baseline,3,47,Low Prob,3,4,1,0.461119,1,0.5,Correct,287,1,-0.774099135,2.168637597,0
288,1033,Baseline,3,48,High Prob,4,1,3,0.4618203,3,0.3,Correct,288,1,-0.772579425,2.165344399,0
289,1033,Baseline,3,49,High Prob,1,3,4,0.460503,4,0.35,Correct,289,1,-0.775435909,2.171538513,0
290,1033,Baseline,3,50,High Prob,3,4,2,0.3392359,2,0.55,Correct,290,1,-1.081059543,2.94780122,0
291,1033,Baseline,3,51,High Prob,4,2,3,0.4466915,3,0.55,Correct,291,1,-0.805887079,2.238681506,0
292,1033,Baseline,3,52,High Prob,2,3,1,0.4840165,1,0.6,Correct,292,1,-0.725636282,2.066045269,0
293,1033,Baseline,3,53,High Prob,3,1,2,0.567464,2,0.6,Correct,293,1,-0.566577968,1.762226326,0
294,1033,Baseline,3,54,High Prob,1,2,1,0.5655062,1,0.25,Correct,294,1,-0.57003402,1.768327208,0
295,1033,Baseline,3,55,High Prob,2,1,4,0.661583,4,0.6,Correct,295,1,-0.413119831,1.511526143,0
296,1033,Baseline,3,56,High Prob,1,4,3,0.3323227,3,0.35,Correct,296,1,-1.101648794,3.009123361,0
297,1033,Baseline,3,57,High Prob,4,3,2,0.5296992,2,0.3,Correct,297,1,-0.635445981,1.887863905,0
298,1033,Baseline,3,58,High Prob,3,2,4,0.5157385,4,0.2,Correct,298,1,-0.662155425,1.938967132,0
299,1033,Baseline,3,59,High Prob,2,4,1,0.4517941,1,0.25,Correct,299,1,-0.794528734,2.213397652,0
300,1033,Baseline,3,60,Low Prob,4,1,2,0.4165047,2,0.4,Correct,300,1,-0.875857533,2.400933291,0
301,1033,Baseline,3,61,High Prob,1,2,1,0.396563,1,0.45,Correct,301,1,-0.92492036,2.521667427,0
302,1033,Baseline,3,62,High Prob,2,1,4,0.5659745,4,0.55,Correct,302,1,-0.569206255,1.766864055,0
303,1033,Baseline,3,63,High Prob,1,4,3,0.3260377,3,0.6,Correct,303,1,-1.12074226,3.067129967,0
304,1033,Baseline,3,64,High Prob,4,3,2,0.3200949,2,0.6,Correct,304,1,-1.139137765,3.124073517,0
305,1033,Baseline,3,65,High Prob,3,2,4,0.5221181,4,0.2,Correct,305,1,-0.649861471,1.91527549,0
306,1033,Baseline,3,66,High Prob,2,4,1,0.3321389,1,0.2,Correct,306,1,-1.102202024,3.010788559,0
307,1033,Baseline,3,67,High Prob,4,1,3,0.357537,3,0.6,Correct,307,1,-1.028516426,2.796913326,0
308,1033,Baseline,3,68,High Prob,1,3,4,0.4342691,4,0.5,Correct,308,1,-0.834090891,2.302719673,0
309,1033,Baseline,3,69,High Prob,3,4,2,0.5016296,2,0.25,Correct,309,1,-0.68989328,1.993502776,0
310,1033,Baseline,3,70,High Prob,4,2,3,0.8104058,3,0.55,Correct,310,1,-0.210220169,1.233949708,0
311,1033,Baseline,3,71,Low Prob,2,3,4,0.3211687,4,0.6,Correct,311,1,-1.135788749,3.113628445,0
312,1033,Baseline,3,72,High Prob,3,4,2,0.4992137,2,0.4,Correct,312,1,-0.694721018,2.003150154,0
313,1033,Baseline,3,73,High Prob,4,2,3,0.5139269,3,0.3,Correct,313,1,-0.665674242,1.94580202,0
314,1033,Baseline,3,74,High Prob,2,3,1,0.3886412,1,0.2,Correct,314,1,-0.945098726,2.573067395,0
315,1033,Baseline,3,75,High Prob,3,1,2,0.5020228,1,0.35,Wrong,315,0,-0.689109742,1.991941402,1
316,1033,Baseline,3,76,High Prob,1,2,1,0.5647343,1,0.3,Correct,316,1,-0.571399924,1.770744224,0
317,1033,Baseline,3,77,High Prob,2,1,4,0.532787,4,0.2,Correct,317,1,-0.629633559,1.876922673,0
318,1033,Baseline,3,78,High Prob,1,4,3,0.3681604,3,0.35,Correct,318,1,-0.999236566,2.716207392,0
319,1033,Baseline,3,79,High Prob,4,3,2,0.3761989,2,0.6,Correct,319,1,-0.977637286,2.658168325,0
320,1033,Baseline,3,80,High Prob,3,2,4,0.3743452,4,0.45,Correct,320,1,-0.982576913,2.671331167,0
321,1033,Baseline,3,81,Low Prob,2,4,3,0.4923481,3,0.25,Correct,321,1,-0.708569292,2.031083292,0
322,1033,Baseline,3,82,Low Prob,4,3,1,0.4677239,1,0.5,Correct,322,1,-0.759877114,2.138013473,0
323,1033,Baseline,3,83,High Prob,3,1,2,0.4857673,2,0.25,Correct,323,1,-0.722025576,2.058598839,0
324,1033,Baseline,3,84,High Prob,1,2,1,0.3971599,1,0.5,Correct,324,1,-0.923416309,2.51787756,0
325,1033,Baseline,3,85,High Prob,2,1,4,0.5325703,4,0.2,Correct,325,1,-0.630040371,1.877686382,0
326,1033,Baseline,3,86,Low Prob,1,4,2,0.3519359,2,0.35,Correct,326,1,-1.044306222,2.841426521,0
327,1033,Baseline,3,87,High Prob,4,2,3,0.4166408,3,0.4,Correct,327,1,-0.875530819,2.400149001,0
328,1033,Baseline,3,88,High Prob,2,3,1,0.3327121,1,0.45,Correct,328,1,-1.100477728,3.00560154,0
329,1033,Baseline,3,89,High Prob,3,1,2,0.5041104,2,0.55,Correct,329,1,-0.684959987,1.983692461,0
330,1033,Baseline,3,90,High Prob,1,2,1,0.3828359,1,0.5,Correct,330,1,-0.960148841,2.61208523,0
331,1033,Baseline,3,91,High Prob,2,1,4,0.5142083,4,0.3,Correct,331,1,-0.665126843,1.944737181,0
332,1033,Baseline,3,92,High Prob,1,4,3,0.3429611,3,0.55,Correct,332,1,-1.070138249,2.915782577,0
333,1033,Baseline,3,93,High Prob,4,3,2,0.5122868,2,0.2,Correct,333,1,-0.668870655,1.952031557,0
334,1033,Baseline,3,94,High Prob,3,2,4,0.4490315,4,0.25,Correct,334,1,-0.800662238,2.227015254,0
335,1033,Baseline,3,95,High Prob,2,4,1,0.3717284,1,0.25,Correct,335,1,-0.989591799,2.690136132,0
336,1033,Baseline,3,96,High Prob,4,1,3,0.433785,3,0.45,Correct,336,1,-0.835206259,2.305289487,0
337,1033,Baseline,3,97,High Prob,1,3,4,0.6511663,4,0.5,Correct,337,1,-0.428990216,1.535706009,0
338,1033,Baseline,3,98,High Prob,3,4,2,0.4159207,2,0.4,Correct,338,1,-0.877260662,2.404304474,0
339,1033,Baseline,3,99,High Prob,4,2,3,0.5459605,3,0.3,Correct,339,1,-0.60520865,1.83163434,0
340,1033,Baseline,3,100,Low Prob,2,3,4,0.4753918,4,0.4,Correct,340,1,-0.743615973,2.103528079,0
341,1033,Baseline,3,101,Low Prob,3,4,1,0.40341,1,0.5,Correct,341,1,-0.907801864,2.478867653,0
342,1033,Baseline,3,102,High Prob,4,1,3,0.3760783,3,0.25,Correct,342,1,-0.977957913,2.659020741,0
343,1033,Baseline,3,103,Low Prob,1,3,2,0.5761443,2,0.6,Correct,343,1,-0.551397129,1.735676288,0
344,1033,Baseline,3,104,Low Prob,3,2,3,0.5121896,3,0.2,Correct,344,1,-0.66906041,1.952402001,0
345,1033,Baseline,3,105,High Prob,2,3,1,0.6389161,1,0.3,Correct,345,1,-0.447982132,1.565150729,0
346,1033,Baseline,3,106,High Prob,3,1,2,0.5343034,2,0.35,Correct,346,1,-0.626791437,1.871595801,0
347,1033,Baseline,3,107,High Prob,1,2,1,0.4137033,1,0.45,Correct,347,1,-0.882606229,2.417191258,0
348,1033,Baseline,3,108,High Prob,2,1,4,0.5324123,4,0.2,Correct,348,1,-0.63033709,1.878243609,0
349,1033,Baseline,3,109,High Prob,1,4,3,0.4399294,3,0.55,Correct,349,1,-0.821141019,2.273092001,0
350,1033,Baseline,3,110,High Prob,4,3,2,0.4392334,2,0.35,Correct,350,1,-0.822724344,2.276693894,0
351,1033,Baseline,3,111,High Prob,3,2,4,0.3506387,4,0.55,Correct,351,1,-1.04799893,2.851938477,0
352,1033,Baseline,3,112,Low Prob,2,4,3,0.4813665,3,0.35,Correct,352,1,-0.731126345,2.077419181,0
353,1033,Baseline,3,113,High Prob,4,3,2,0.5487317,3,0.6,Wrong,353,0,-0.600145664,1.822384236,1
354,1033,Baseline,3,114,Low Prob,3,2,3,0.7554716,3,0.25,Correct,354,1,-0.280413089,1.323676496,0
355,1033,Baseline,3,115,High Prob,2,3,1,0.634248,1,0.25,Correct,355,1,-0.455315234,1.576670325,0
356,1033,Baseline,3,116,High Prob,3,1,2,0.5036106,2,0.6,Correct,356,1,-0.685951929,1.985661144,0
357,1033,Baseline,3,117,Low Prob,1,2,4,0.432388,4,0.45,Correct,357,1,-0.838431946,2.312737634,0
358,1033,Baseline,3,118,Low Prob,2,4,3,0.3957247,3,0.45,Correct,358,1,-0.927036512,2.527009307,0
359,1033,Baseline,3,119,High Prob,4,3,2,0.3611205,2,0.45,Correct,359,1,-1.018543581,2.769158771,0
360,1033,Baseline,3,120,High Prob,3,2,4,0.5518176,4,0.45,Correct,360,1,-0.594537722,1.812193015,0
361,1033,Baseline,4,1,High Prob,2,3,1,0.4487409,1,0.6,Correct,361,1,-0.801309618,2.228457446,0
362,1033,Baseline,4,2,Low Prob,3,1,4,0.3854369,4,0.3,Correct,362,1,-0.953377783,2.594458393,0
363,1033,Baseline,4,3,High Prob,1,4,3,0.2888162,3,0.4,Correct,363,1,-1.241964779,3.462409657,0
364,1033,Baseline,4,4,High Prob,4,3,2,0.3781958,2,0.25,Correct,364,1,-0.972343228,2.644133013,0
365,1033,Baseline,4,5,High Prob,3,2,4,0.3162324,4,0.35,Correct,365,1,-1.151277893,3.162231321,0
366,1033,Baseline,4,6,High Prob,2,4,1,0.2782719,1,0.6,Correct,366,1,-1.279156586,3.593607547,0
367,1033,Baseline,4,7,High Prob,4,1,3,0.558335,3,0.3,Correct,367,1,-0.582796138,1.79103943,0
368,1033,Baseline,4,8,High Prob,1,3,4,0.3650803,4,0.25,Correct,368,1,-1.00763795,2.73912342,0
369,1033,Baseline,4,9,High Prob,3,4,2,0.4450879,2,0.4,Correct,369,1,-0.809483488,2.246747216,0
370,1033,Baseline,4,10,High Prob,4,2,3,0.4724864,3,0.45,Correct,370,1,-0.749746316,2.116463035,0
371,1033,Baseline,4,11,High Prob,2,3,1,0.3045404,1,0.5,Correct,371,1,-1.188951524,3.283636588,0
372,1033,Baseline,4,12,High Prob,3,1,2,0.6312476,2,0.3,Correct,372,1,-0.4600571,1.584164439,0
373,1033,Baseline,4,13,High Prob,1,2,1,0.421299,1,0.2,Correct,373,1,-0.864412484,2.373611141,0
374,1033,Baseline,4,14,Low Prob,2,1,3,0.5753757,3,0.5,Correct,374,1,-0.55273206,1.737994844,0
375,1033,Baseline,4,15,High Prob,1,3,4,0.2454257,4,0.45,Correct,375,1,-1.404761025,4.074552909,0
376,1033,Baseline,4,16,High Prob,3,4,2,0.5768672,2,0.25,Correct,376,1,-0.550143195,1.733501229,0
377,1033,Baseline,4,17,High Prob,4,2,3,0.5408939,3,0.3,Correct,377,1,-0.614532138,1.848791417,0
378,1033,Baseline,4,18,Low Prob,2,3,4,0.4042577,4,0.45,Correct,378,1,-0.905702733,2.473669642,0
379,1033,Baseline,4,19,High Prob,3,4,2,0.4489645,2,0.45,Correct,379,1,-0.800811459,2.227347597,0
380,1033,Baseline,4,20,High Prob,4,2,3,0.4676774,3,0.25,Correct,380,1,-0.759976537,2.138226051,0
381,1033,Baseline,4,21,High Prob,2,3,1,0.3277467,1,0.6,Correct,381,1,-1.115514225,3.051136747,0
382,1033,Baseline,4,22,High Prob,3,1,2,0.621807,2,0.3,Correct,382,1,-0.475125524,1.608216054,0
383,1033,Baseline,4,23,High Prob,1,2,1,0.5018529,1,0.35,Correct,383,1,-0.68944823,1.992615764,0
